0.99	4.22	48.76	2.42	10.54	-15	a01-000u.png	
0.0	9.72	23.86	6.72	16.25	180	a01-000x.png	
-0.21	7.29	29.62	3.17	16.98	180	a01-003.png	
-0.09	4.88	43.0	1.12	11.7	-15	a01-003u.png	
-0.54	4.2	56.22	1.03	17.45	180	a01-003x.png	
-0.17	8.59	25.04	2.92	20.13	-5	a01-007.png	
0.39	4.35	47.76	1.83	7.38	-15	a01-007u.png	
0.21	4.71	49.45	1.42	19.84	180	a01-007x.png	
-0.11	5.14	42.05	1.86	11.99	180	a01-011.png	
-0.65	4.96	41.72	1.77	9.39	-15	a01-011u.png	
2.42	4.83	48.42	1.22	20.24	180	a01-011x.png	
-0.2	5.43	39.75	1.04	12.65	-5	a01-014.png	
0.0	4.77	43.39	1.85	11.62	-15	a01-014u.png	
1.56	8.53	27.19	2.06	18.46	180	a01-014x.png	
0.1	6.34	33.92	1.94	14.86	180	a01-020.png	
0.0	7.43	28.14	2.17	17.88	-15	a01-020u.png	
0.2	4.62	50.18	2.02	19.55	180	a01-020x.png	
-0.54	6.18	34.96	1.85	14.43	180	a01-026.png	
-1.13	4.47	46.54	1.18	21.17	-15	a01-026u.png	
0.95	8.39	27.52	1.13	18.26	180	a01-026x.png	
-0.24	4.91	43.81	1.82	11.5	180	a01-030.png	
0.0	4.14	50.25	1.35	19.58	-5	a01-030u.png	
0.0	5.54	41.91	1.67	11.99	180	a01-030x.png	
1.19	3.55	60.5	0.79	16.28	180	a01-038.png	
-0.83	4.66	50.0	0.98	19.62	180	a01-038x.png	
0.14	3.16	68.42	0.58	7.19	180	a01-043.png	
-0.46	6.61	31.19	2.33	16.16	-15	a01-043u.png	
0.81	5.33	43.56	1.19	11.53	180	a01-043x.png	
-0.26	3.43	63.62	0.57	15.47	180	a01-049.png	
-1.54	3.68	55.64	1.04	17.7	-15	a01-049u.png	
-0.31	5.91	39.23	1.53	12.78	180	a01-049x.png	
-1.4	2.79	77.36	0.34	7.68	180	a01-053.png	
0.24	4.42	46.62	1.54	7.82	-15	a01-053u.png	
-0.27	7.06	32.86	1.24	15.28	180	a01-053x.png	
0.0	1.79	120.4	0.44	8.17	180	a01-058.png	
-0.46	4.79	42.59	2.24	11.82	-15	a01-058u.png	
0.38	3.77	61.48	0.82	15.96	180	a01-058x.png	
0.56	2.2	97.75	0.33	3.42	180	a01-063.png	
0.0	6.95	29.63	3.08	16.98	-15	a01-063u.png	
-1.93	5.36	43.67	0.79	11.48	180	a01-063x.png	
0.91	4.49	45.62	1.78	11.05	-15	a01-068u.png	
0.33	5.43	37.91	2.45	13.29	-15	a01-072u.png	
-0.17	8.98	26.05	3.71	19.27	180	a01-072x.png	
0.14	5.52	38.94	0.9	8.67	180	a01-077.png	
0.0	6.03	33.52	2.42	15.04	-15	a01-077u.png	
-0.07	5.31	38.8	1.44	12.99	-15	a01-082u.png	
-0.57	5.66	38.32	1.7	13.15	180	a01-087.png	
0.61	5.11	40.12	2.15	12.56	-15	a01-087u.png	
-1.23	5.6	38.03	0.79	13.36	180	a01-091.png	
0.0	5.95	34.6	2.84	14.57	-5	a01-091u.png	
-0.43	5.38	38.31	1.99	13.16	-15	a01-096u.png	
1.61	4.11	52.1	0.66	19.02	180	a01-102.png	
-1.49	5.51	37.4	2.32	13.48	-15	a01-102u.png	
-0.1	6.18	34.96	2.11	14.42	180	a01-107.png	
-0.06	7.19	28.5	2.3	17.68	-15	a01-107u.png	
-0.9	4.32	50.27	1.34	9.79	180	a01-113.png	
-0.23	4.92	42.88	1.52	11.74	180	a01-113u.png	
2.49	3.67	58.25	0.85	16.89	-5	a01-117.png	
-0.29	4.48	45.56	1.45	11.06	-15	a01-117u.png	
0.0	4.14	51.89	1.63	18.98	180	a01-122.png	
0.0	6.7	30.62	1.98	10.95	-5	a01-122u.png	
0.52	4.58	47.33	1.28	20.79	180	a01-128.png	
-1.19	4.3	48.42	1.44	20.34	-5	a01-128u.png	
-0.13	6.19	34.74	1.41	14.49	180	a01-132.png	
0.17	4.91	41.96	1.91	12.01	180	a01-132u.png	
0.52	7.85	29.67	1.9	13.81	180	a01-132x.png	
0.32	6.03	35.68	2.3	11.26	180	a02-000.png	
0.0	5.19	42.03	1.12	9.45	180	a02-004.png	
-0.96	6.4	33.59	2.5	14.99	180	a02-008.png	
2.28	6.05	35.72	1.01	14.11	180	a02-012.png	
-0.91	5.11	41.53	2.29	12.16	-30	a02-017.png	
-0.67	5.39	39.35	2.88	12.82	-30	a02-020.png	
1.11	5.96	35.59	2.41	14.19	-30	a02-024.png	
-0.42	4.75	44.88	1.41	22.04	-30	a02-027.png	
-0.42	4.95	42.67	2.38	23.18	-30	a02-032.png	
-0.84	4.47	46.81	1.14	21.11	-30	a02-037.png	
-0.41	5.7	37.22	2.03	13.56	-30	a02-042.png	
2.03	5.87	35.41	2.33	14.25	180	a02-046.png	
-0.09	5.42	38.22	2.77	10.3	180	a02-050.png	
0.94	4.78	43.5	2.31	11.6	180	a02-053.png	
0.59	5.06	40.89	1.35	12.36	180	a02-057.png	
0.16	5.75	35.86	1.58	14.1	180	a02-062.png	
1.08	5.19	40.11	1.39	8.7	180	a02-067.png	
0.5	4.51	46.76	2.26	21.06	-5	a02-072.png	
0.99	10.89	19.29	2.84	26.11	-5	a02-078.png	
0.0	5.68	38.0	3.01	6.03	180	a02-082.png	
0.0	5.35	40.21	2.39	12.52	180	a02-086.png	
0.48	5.45	38.68	2.54	8.68	-30	a02-090.png	
-0.55	5.12	41.19	2.0	12.26	-30	a02-093.png	
0.71	6.63	31.84	1.63	15.86	-30	a02-098.png	
-0.21	4.94	42.96	1.52	23.0	-30	a02-102.png	
-2.42	6.08	34.87	0.85	14.47	-30	a02-106.png	
0.0	5.56	38.16	1.2	13.21	-30	a02-111.png	
-0.44	5.73	36.11	1.56	13.96	180	a02-116.png	
0.23	4.43	46.24	1.24	10.66	180	a02-120.png	
0.24	8.7	24.36	3.85	20.67	-30	a02-124.png	
-1.2	3.77	54.9	1.36	17.94	180	a03-006.png	
-0.58	4.48	46.17	2.12	21.34	180	a03-009.png	
0.55	5.25	39.43	1.86	12.78	180	a03-011.png	
0.0	3.77	54.61	1.06	18.04	180	a03-014.png	
-1.62	5.44	38.07	1.52	13.24	180	a03-017.png	
-0.2	3.23	63.83	0.69	10.26	180	a03-020.png	
0.0	4.51	45.9	1.69	8.65	-5	a03-023.png	
0.0	5.83	35.48	0.74	14.21	-5	a03-027.png	
-0.36	5.95	35.11	2.88	7.9	180	a03-030.png	
0.28	5.1	40.82	1.89	12.35	180	a03-034.png	
0.57	6.33	32.69	2.05	15.42	180	a03-037.png	
0.0	5.43	38.09	2.18	10.11	-5	a03-040.png	
1.6	4.0	51.94	1.93	18.96	180	a03-043.png	
0.04	5.42	39.3	1.45	12.83	-30	a03-047.png	
0.31	5.08	41.71	2.66	23.67	-30	a03-050.png	
0.06	3.85	53.5	0.61	6.62	180	a03-054.png	
0.13	4.45	46.08	0.55	21.38	-5	a03-059.png	
1.39	4.27	48.5	1.23	20.31	180	a03-063.png	
0.0	6.59	31.39	1.38	16.05	-15	a03-066.png	
-0.56	6.32	33.09	2.42	15.22	-30	a03-071.png	
0.43	6.26	33.89	1.84	14.89	-30	a03-073.png	
-0.4	6.54	32.4	2.21	15.56	-30	a03-080.png	
0.67	7.61	27.86	12.32	18.02	-30	a03-089.png	
1.11	4.82	44.0	2.46	11.5	180	a04-000.png	
1.04	4.36	49.11	1.93	20.12	180	a04-003.png	
0.0	0.14	58.87	0.91	8.37	180	a04-006.png	
2.05	4.6	46.08	1.25	21.44	180	a04-010.png	
0.93	6.15	34.62	1.58	14.6	180	a04-015.png	
-0.37	5.23	40.76	1.54	12.4	180	a04-019.png	
-0.73	3.93	54.74	1.49	18.05	180	a04-023.png	
0.47	4.6	46.53	2.28	21.26	180	a04-027.png	
-0.21	6.33	34.26	1.44	14.74	180	a04-031.png	
1.05	7.32	29.51	1.51	17.13	180	a04-035.png	
0.0	5.03	41.96	1.47	12.06	180	a04-039.png	
0.99	7.99	26.65	2.74	18.97	180	a04-043.png	
0.09	3.82	57.6	1.25	17.15	180	a04-047.png	
0.0	4.59	47.5	1.55	20.78	180	a04-050.png	
0.0	4.43	48.95	1.58	20.16	180	a04-054.png	
0.0	5.92	37.19	1.25	13.59	180	a04-059.png	
-0.09	5.55	38.4	1.7	13.16	180	a04-066.png	
0.79	5.1	44.32	1.34	11.39	180	a04-069.png	
-3.72	5.59	39.32	0.94	12.84	180	a04-072.png	
0.96	4.84	45.68	1.98	11.05	180	a04-081.png	
0.24	5.03	43.14	1.14	11.72	180	a04-085.png	
-0.25	4.96	43.77	1.28	11.54	180	a04-089.png	
1.12	5.88	37.59	1.15	13.45	180	a04-092.png	
0.57	5.35	40.75	1.65	12.39	180	a04-096.png	
-2.11	5.71	38.19	1.12	13.22	180	a04-099.png	
-1.07	6.36	33.0	1.8	15.3	-5	a04-103.png	
0.35	7.18	29.53	4.86	17.08	-30	a05-000.png	
2.56	6.15	34.29	1.7	14.69	180	a05-004.png	
0.46	6.53	32.14	2.84	15.68	180	a05-009.png	
1.02	5.7	36.84	2.72	26.76	-30	a05-013.png	
-0.62	6.25	33.58	2.22	29.36	-30	a05-017.png	
-0.69	6.55	32.24	2.84	30.62	-30	a05-022.png	
-0.4	7.31	28.85	3.5	34.21	-30	a05-025.png	
